"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United Arab Emirates","ARE","Gini index","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","","","","","26.4","","","","","",
"United Arab Emirates","ARE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","2.8","","","","","",
"United Arab Emirates","ARE","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5","","","","","23.3","","","","","",
"United Arab Emirates","ARE","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234.73015538","170.82441934","318.44490626","334.1585464","390.92086588","422.48474034","450.15569023","465.66981675","477.08193507","338.11324648","386.24158596","413.9067598","406.53682888","448.88741218","480.70910597","413.78368027","379.43593528","780.06418247","927.23945014","967.89505019","855.11201153","844.13827706","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.08343506","15.08593273","28.04150772","27.45693016","30.40838051","30.13919067","29.70960617","28.87625122","25.13651848","16.1003685","17.94574356","16.88403702","16.73880386","17.15579414","17.807827","17.78964996","15.99159431","11.41661835","12.69611263","12.75102711","11.21054459","10.43673134","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63412821","1.91322362","1.66402185","1.62154937","1.40600681","1.31882441","1.33256018","1.50538909","1.87159979","2.98414969","2.7482419","2.65790033","2.42006803","2.52060986","2.50834441","2.46962833","2.97157669","2.19714189","2.1139648","2.2531426","3.55229998","3.40211678","","",
"United Arab Emirates","ARE","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"United Arab Emirates","ARE","Newborns protected against tetanus (%)","SH.VAC.TTNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","UHC service coverage index","SH.UHC.SRVS.CV.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","","","","59","","","","","62","","","","","72","","73","","75","","82","","",
"United Arab Emirates","ARE","Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.FBP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Prevalence of severe wasting, weight for height (% of children under 5)","SH.SVR.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","School enrollment, secondary (gross), gender parity index (GPI)","SE.ENR.SECO.FM.ZS","","","","","","","","","","","","","","0.596660017967224","0.90149998664856","0.919489979743958","0.826910018920898","0.931299984455109","1.04135000705719","0.990790009498596","0.959959983825684","0.902239978313446","0.961510002613068","0.946110010147095","0.924440026283264","0.934249997138977","0.953849971294403","1.08069002628326","1.153480052948","1.18863999843597","1.19290995597839","1.16970002651215","1.15743005275726","1.12715995311737","1.08768999576569","1.05437004566193","","1.10571002960205","1.12578999996185","","","","","","","","","","","","","","","","","","0.958840012550354","0.918699979782104","","0.986909985542297","1.01218998432159","","","",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","54","","","","","","","","","","71","","","","","","","","","","","","","","","","","","","","90","","","","","","","","","","","","","","98","","98","98","",
"United Arab Emirates","ARE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","66","","","","","","","","","","81","","","","","","","","","","","","","","","","","","","","94","","","","","","","","","","","","","","98","","100","100","",
"United Arab Emirates","ARE","Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval","RQ.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.239128112793","","85.3260879516602","","85.8695678710938","","90.8108139038086","77.2972946166992","81.0945281982422","76.470588684082","77.9411773681641","79.1262130737305","78.1553421020508","73.684211730957","72.7272720336914","75.3554534912109","79.1469192504883","82.4644546508789","89.4230804443359","91.4285736083984","87.1428604125977","88.5714263916016","86.1904754638672","87.6190490722656","90.9523773193359","87.6190490722656","88.2075500488281","90.5660400390625",
"United Arab Emirates","ARE","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.694305300712585","","0.58349621295929","","0.689028561115265","","1.07834911346436","0.63887894153595","0.792539000511169","0.651603817939758","0.624527931213379","0.609011650085449","0.567518591880798","0.443285644054413","0.318565338850021","0.445208370685577","0.670992136001587","0.774973034858704","0.987515151500702","1.09659695625305","0.95991837978363","1.00095462799072","0.919854760169983","0.968137919902802","1.07433104515076","1.00612270832062","1.03478074073792","1.04239141941071",
"United Arab Emirates","ARE","Rule of Law: Percentile Rank","RL.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.8442230224609","","70","","70.1492538452148","","69.651741027832","66.1691513061523","62.019229888916","60.7655487060547","60.7655487060547","58.3732070922852","61.0576934814453","63.0331764221191","62.0853080749512","64.7887344360352","66.6666641235352","69.0140838623047","74.5192337036133","71.4285736083984","77.6190490722656","76.1904754638672","76.1904754638672","77.6190490722656","77.6190490722656","76.6666641235352","78.7735824584961","78.7735824584961",
